timestamp yaw pitch roll
1403636862.601666 93.246382 0.792892 -20.139388
1403636862.601666 89.049605 -0.120025 -1.103956
1403636863.151666 88.637302 -0.008354 -0.004693
1403636863.351666 88.629556 -0.058946 -0.094867
1403636863.501667 88.699216 -0.127048 -0.422464
1403636864.551666 88.771532 0.074841 -0.119398
1403636865.251667 88.739280 -0.040237 -0.327715
1403636865.551666 88.706070 -0.120517 -0.409457
1403636866.351666 88.574318 -0.328646 -0.422481
1403636867.301666 88.386699 -0.295109 -0.360732
1403636867.601666 88.379808 -0.123508 -0.025102
1403636868.151666 88.524670 0.200644 0.776290
1403636868.901667 88.589923 0.260834 0.770664
1403636869.451666 88.566208 0.262906 0.891536
1403636869.851666 88.579391 0.289715 0.968421
1403636870.151666 88.661758 0.284942 0.466230
1403636870.601666 88.783649 0.387061 -0.062824
1403636870.801666 88.806625 0.452254 0.022543
1403636871.951666 88.849588 0.584668 -0.154713
1403636872.151666 88.917068 0.645266 -0.310279
1403636872.601666 88.909755 0.689386 -0.267406
1403636873.051666 88.919278 0.713146 -0.232180
1403636873.851666 88.947055 0.683125 -0.496215
1403636874.451666 88.949033 0.677220 -0.493021
1403636874.751667 88.939694 0.695959 -0.566133
1403636875.201667 88.930185 0.690209 -0.582081
1403636875.651666 88.866390 0.767543 -0.345865
1403636876.001667 88.873563 0.760077 -0.253011
1403636876.751667 88.928165 0.771168 -0.348691
1403636877.301666 88.909826 0.926802 0.080222
1403636877.901667 88.952508 0.934163 0.037069
1403636878.401667 88.995900 0.915351 -0.003810
1403636879.151666 89.033524 0.895761 -0.109432
1403636880.051666 89.088415 0.971770 -0.097073
1403636880.701667 89.062348 1.024490 -0.050567
1403636881.551666 89.087305 1.124125 -0.084844
1403636882.151666 89.083735 1.153654 -0.087232
1403636882.601666 89.146733 1.218881 -0.061761
1403636883.401667 89.150483 1.260802 -0.041923
1403636884.001667 89.142215 1.248185 -0.044277
1403636897.751667 89.177825 1.274895 -0.029983
1403636898.401667 89.166056 1.256994 -0.049123
1403636899.101666 89.178978 1.261425 -0.038792
1403636899.901667 89.167394 1.280355 -0.047394
1403636900.551666 89.159950 1.273514 -0.051556
1403636901.201667 89.158520 1.275908 -0.044192
1403636901.901667 89.160391 1.281407 -0.047758
1403636902.501667 89.159637 1.284699 -0.046203
1403636903.401667 89.147478 1.255115 -0.037603
1403636904.501667 89.144369 1.254977 -0.034087
